news,date,word,freq
한겨레,20140416,정부,19
한겨레,20140417,정부,24
한겨레,20140418,정부,47
한겨레,20140419,정부,6
한겨레,20140420,정부,64
조선,20140416,정부,6
조선,20140417,정부,24
조선,20140418,정부,27
조선,20140419,정부,40
조선,20140420,정부,12
한겨레,20140416,대통령,11
한겨레,20140417,대통령,22
한겨레,20140418,대통령,4
한겨레,20140419,대통령,4
한겨레,20140420,대통령,12
조선,20140416,대통령,5
조선,20140417,대통령,31
조선,20140418,대통령,25
조선,20140419,대통령,28
조선,20140420,대통령,0
한겨레,20140416,참사,8
한겨레,20140417,참사,10
한겨레,20140418,참사,15
한겨레,20140419,참사,9
한겨레,20140420,참사,38
조선,20140416,참사,0
조선,20140417,참사,65
조선,20140418,참사,9
조선,20140419,참사,4
조선,20140420,참사,0
한겨레,20140416,책임,0
한겨레,20140417,책임,6
한겨레,20140418,책임,27
한겨레,20140419,책임,0
한겨레,20140420,책임,4
조선,20140416,책임,0
조선,20140417,책임,0
조선,20140418,책임,11
조선,20140419,책임,19
조선,20140420,책임,0
